Designator,Footprint,Quantity,Value,LCSC Part #
BZ401,AC1255,1,AC2208,
"C1101, C207, C208, C209, C211, C214, C217, C218",0805,8,10u,
"C1102, C1201, C203, C204, C210, C212, C213, C215, C216, C219, C404, C405, C409, C410, C411, C412, C413, C414, C415, C416, C602, C701, C702, C801, C901",0603,25,100n,
C201,0603,1,0u22,
C202,0603,1,10p,
"C205, C206, C408, C502",0805,4,4u7,
"C401, C402",0603,2,20p,
C403,0603,1,1u,
"C406, C407, C601",0603,3,2u2,
C501,CP_Radial_D13.0mm_P5.00mm,1,2200u,
C603,0603,1,10n,
"D201, D302, D401, D402, D403, D404",0603,6,GREEN,
D202,0603,1,ORANGE,
D301,D_SMA,1,SMAJ12A,
D501,D_SMA,1,SMAJ9.0CA,
FB402,0603,1,FerriteBead,
"J101, J501",AMASS_XT60-F_1x02_P7.20mm_Vertical,2,XT60-M,
J102,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,SPI,
J103,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,I2C,
J104,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,PB,
J105,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,SWD,
J106,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,PYRO0,
J107,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,PYRO1,
J108,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,PYRO2,
J109,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,PYRO3,
J110,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,PYRO4,
J111,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,PYRO5,
J112,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SERVO0,
J113,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SERVO1,
J114,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SERVO2,
J115,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SERVO3,
J116,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SERVO4,
J117,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SERVO5,
J118,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RADIO,
"J119, J121, J122",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,3,POWER,
J120,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,GNSS,
J301,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"L201, L202",L_Sunlord_SWPA8040S,2,10u,
"Q201, Q202, Q501, Q502, Q503, Q504, Q505, Q506",TO-220-3_Vertical,8,IRLZ44N,
Q401,SOT-23,1,Q_NMOS,
R101,0603,1,0R,
R201,0603,1,360k,
"R202, R407",0603,2,47k,
R203,2512,1,0R1,
"R204, R205, R301, R404, R405, R408, R409",0603,7,180R,
R206,0603,1,162k,
"R207, R209",0603,2,22.1k,
"R208, R403",0603,2,100k,
"R401, R402, R503, R504, R505, R506, R507, R511, R512, R513, R514, R517, R518, R519, R520, R801, R802, R901, R902",0603,19,4k7,
"R406, R501, R502, R509, R510, R515, R516",0603,7,47R,
R410,0603,1,22k1,
R508,0603,1,1k,
"SW401, SW402",SW_SPST_TS-1088-xR020,2,SW_Push,
U1101,TF-SMD_THD2528-11SD-GF,1,THD-2528-11SD-GF,
U1201,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U201,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.4x3.7mm,1,BQ24005,
"U202, U203",SOT-23-6,2,LM74700,
"U204, U205",SOT-23-6,2,LMR51430,
"U301, U303",SOT-23-6,2,USBLC6-2SC6,
U302,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,
U401,LQFP-100_14x14mm_P0.5mm,1,STM32F446VETx,
"U501, U502, U504, U505, U506, U507",DIP-4_W7.62mm,6,PC817,
U503,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4051B,
U601,ICM-42688-P,1,ICM-42688-P,
U701,LSM6DSO32TR,1,LSM6DSO32TR,
U801,LGA-8_3x5mm_P1.25mm,1,MS5607,
U901,LPS22HH,1,LPS22HH,
Y401,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,YXC YSX321SL,
