Designator,Mid X,Mid Y,Rotation,Layer
BZ401,138.0,-35.75,0.0,bottom
C1101,141.5,-68.0,180.0,bottom
C1102,141.325,-66.0,180.0,bottom
C1201,130.5,-41.5,90.0,bottom
C201,141.5,-111.275,270.0,top
C202,141.5,-108.0,90.0,top
C203,129.225,-124.0,180.0,top
C204,109.725,-91.0,180.0,top
C205,139.0,-131.5,0.0,top
C206,119.05,-98.5,0.0,top
C207,121.0,-106.0,180.0,bottom
C208,100.45,-89.5,180.0,bottom
C209,121.0,-108.0,180.0,bottom
C210,121.025,-110.0,180.0,bottom
C211,85.5,-97.0,0.0,bottom
C212,121.5,-116.5,0.0,bottom
C213,100.275,-92.0,180.0,bottom
C214,106.0,-115.52,0.0,bottom
C215,106.0,-110.52,0.0,bottom
C216,101.0,-99.0,0.0,bottom
C217,106.0,-113.0,0.0,bottom
C218,85.5,-93.0,0.0,bottom
C219,85.5,-95.0,0.0,bottom
C401,101.0,-53.0,0.0,top
C402,100.0,-59.0,180.0,top
C403,99.725,-61.0,180.0,top
C404,110.225,-59.0,180.0,bottom
C405,105.5,-54.75,270.0,bottom
C406,120.0,-67.0,270.0,top
C407,128.5,-51.0,0.0,top
C408,109.5,-69.5,180.0,top
C409,109.5,-67.275,180.0,top
C410,123.0,-65.0,270.0,top
C411,125.5,-49.275,270.0,top
C412,109.0,-46.0,0.0,top
C413,109.5,-56.275,270.0,bottom
C414,103.5,-59.5,270.0,top
C415,104.5,-53.0,180.0,top
C416,109.704328,-61.775,270.0,bottom
C501,132.963967,-146.791213,180.0,top
C502,133.5,-162.0,180.0,top
C601,108.75,-78.5,90.0,bottom
C602,110.25,-78.5,90.0,bottom
C603,111.75,-78.5,90.0,bottom
C701,114.775,-81.5,0.0,top
C702,117.5,-80.0,270.0,top
C801,103.275,-82.0,0.0,top
C901,126.0,-76.0,180.0,top
D201,144.0,-117.5,180.0,top
D202,144.0,-120.0,180.0,top
D301,147.5,-79.0,180.0,top
D302,145.665,-95.54,0.0,top
D401,94.0,-35.0,0.0,top
D402,94.0,-37.5,0.0,top
D403,94.0,-40.0,0.0,top
D404,94.0,-42.5,0.0,top
D501,133.5,-158.0,0.0,top
FB402,112.0,-61.0,180.0,bottom
H101,80.729385,-27.54474,0.0,top
H102,149.070966,-27.474324,0.0,top
H103,81.275152,-175.39624,0.0,top
H104,148.577532,-175.134359,0.0,top
J101,147.5,-107.4,270.0,top
J102,82.04,-50.86,270.0,top
J103,148.09,-47.5,90.0,top
J104,82.17,-39.79,270.0,top
J105,148.08,-37.62,90.0,top
J106,82.0,-123.67,270.0,top
J107,82.0,-131.31,270.0,top
J108,82.0,-138.95,270.0,top
J109,82.0,-146.59,270.0,top
J110,82.0,-154.23,270.0,top
J111,82.0,-161.87,270.0,top
J112,91.045634,-174.677719,0.0,top
J113,100.545634,-174.677719,0.0,top
J114,110.005634,-174.677719,0.0,top
J115,119.505634,-174.677719,0.0,top
J116,128.965634,-174.677719,0.0,top
J117,138.459996,-174.691618,0.0,top
J118,129.45,-27.815,0.0,top
J119,82.0,-60.27,270.0,top
J120,99.25,-27.874868,0.0,top
